"period_type","start_date","end_date","salesman_fio","chif_fio","sales_count","sales_sum","max_overcharge_item","max_overcharge_percent"
month,2019-03-01,2019-03-31,Фарест Александр Вячеславович,Касатый Ника Федотовна,3,872848,БСТ B35 П5 F1300 W12,60.80
week,2019-03-04,2019-03-10,Фарест Александр Вячеславович,Касатый Ника Федотовна,3,872848,БСТ B35 П5 F1300 W12,60.80
month,2019-04-01,2019-04-30,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,2802360,БСТ B50 П5 F1300 W18,134.55
week,2019-04-15,2019-04-21,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,2802360,БСТ B50 П5 F1300 W18,134.55
month,2019-05-01,2019-05-31,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,38771,Упаковка европалет,27.20
week,2019-05-13,2019-05-19,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,38771,Упаковка европалет,27.20
week,2019-07-01,2019-07-07,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,630184,"Мелкозернистый бетон БСМ B 7,5 П3,П4",48.00
month,2019-07-01,2019-07-31,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,630184,"Мелкозернистый бетон БСМ B 7,5 П3,П4",48.00
week,2019-07-29,2019-08-04,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,759800,БСТ B25 П4 F1150 W8,45.00
month,2019-08-01,2019-08-31,Фарест Александр Вячеславович,Касатый Ника Федотовна,4,5303296,БСТ B60 П5 F1300 W20,156.00
week,2019-08-19,2019-08-25,Фарест Александр Вячеславович,Касатый Ника Федотовна,2,3951366,БСТ B60 П5 F1300 W20,156.00
week,2019-08-26,2019-09-01,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,592130,БСТ B30 П4 F1150 W10,10.00
month,2019-09-01,2019-09-30,Фарест Александр Вячеславович,Касатый Ника Федотовна,3,2903305,Раствор М100 Пк3,156.00
week,2019-09-09,2019-09-15,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,444136,Раствор кладочный М150 Пк3,3.00
week,2019-09-23,2019-09-29,Фарест Александр Вячеславович,Касатый Ника Федотовна,2,2459169,Раствор М100 Пк3,156.00
month,2019-10-01,2019-10-31,Фарест Александр Вячеславович,Касатый Ника Федотовна,2,1083548,БСТ B60 П5 F1300 W20,3.00
week,2019-10-07,2019-10-13,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,655995,БСТ B60 П5 F1300 W20,1.00
week,2019-10-14,2019-10-20,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,427553,"Мелкозернистый бетон БСМ B15 П3,П4",3.00
month,2019-11-01,2019-11-30,Фарест Александр Вячеславович,Касатый Ника Федотовна,2,636118,БСТ B35 П5 F1200 W12,63.20
week,2019-11-04,2019-11-10,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,51702,Фасовка,63.20
week,2019-11-25,2019-12-01,Фарест Александр Вячеславович,Касатый Ника Федотовна,1,584416,БСТ B35 П5 F1200 W12,12.00
month,2020-01-01,2020-01-31,Фарест Александр Вячеславович,Касатый Ника Федотовна,2,1281283,"БСТ B22,5 П4 F1100 W6",40.00
week,2020-01-27,2020-02-02,Фарест Александр Вячеславович,Касатый Ника Федотовна,2,1281283,"БСТ B22,5 П4 F1100 W6",40.00
month,2020-02-01,2020-02-29,Фарест Александр Вячеславович,Касатый Ника Федотовна,2,1508724,БСТ B60 П5 F1300 W20,23.00
week,2020-02-10,2020-02-16,Фарест Александр Вячеславович,Касатый Ника Федотовна,2,1508724,БСТ B60 П5 F1300 W20,23.00
week,2018-10-29,2018-11-04,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,895200,БСТ B45 П5 F1300 W16,60.14
month,2018-11-01,2018-11-30,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,895200,БСТ B45 П5 F1300 W16,60.14
month,2018-12-01,2018-12-31,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,6,6121658,"БСТ B 7,5 П3,П4",195.40
week,2018-12-03,2018-12-09,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,2339592,"БСТ B 7,5 П3,П4",195.40
week,2018-12-10,2018-12-16,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,2,1957307,"БСТ B 7,5 П3,П4",141.32
week,2018-12-17,2018-12-23,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,2,1174999,Раствор М200 Пк3,59.01
week,2018-12-24,2018-12-30,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,649760,БСТ B25 П4 F1150 W8,42.18
week,2018-12-31,2019-01-06,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,482830,Раствор М200 Пк3,15.76
month,2019-01-01,2019-01-31,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,3,3974327,БСТ B30 П4 F1200 W10,156.65
week,2019-01-07,2019-01-13,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,2823172,БСТ B30 П4 F1200 W10,156.65
week,2019-01-28,2019-02-03,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,668325,"БСТ B20 П3,П4",43.85
month,2019-02-01,2019-02-28,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,688470,БСТ B60 П5 F1300 W20,13.24
week,2019-02-04,2019-02-10,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,688470,БСТ B60 П5 F1300 W20,13.24
month,2019-03-01,2019-03-31,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,4,2083330,Раствор М150 Пк3,60.09
week,2019-03-04,2019-03-10,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,3,1603114,Раствор М150 Пк3,60.09
week,2019-03-18,2019-03-24,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,480216,Раствор кладочный М100 Пк3,17.15
month,2019-04-01,2019-04-30,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,681483,БСТ B50 П5 F1300 W18,14.07
week,2019-04-08,2019-04-14,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,681483,БСТ B50 П5 F1300 W18,14.07
month,2019-05-01,2019-05-31,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,2,1387512,БСТ B40 П5 F1300 W14,44.00
week,2019-05-06,2019-05-12,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,873648,БСТ B40 П5 F1300 W14,44.00
week,2019-05-13,2019-05-19,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,513864,Раствор М150 Пк3,22.00
month,2019-06-01,2019-06-30,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,2,1930314,Раствор кладочный М100 Пк3,110.00
week,2019-06-03,2019-06-09,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,1884960,Раствор кладочный М100 Пк3,110.00
week,2019-06-24,2019-06-30,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,45354,Упаковка европалет,48.80
month,2019-07-01,2019-07-31,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,2,1295264,"Мелкозернистый бетон БСМ B25 П3,П4",42.00
week,2019-07-15,2019-07-21,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,676204,"Мелкозернистый бетон БСМ B25 П3,П4",42.00
week,2019-07-29,2019-08-04,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,619060,"Мелкозернистый бетон БСМ B25 П3,П4",30.00
month,2019-08-01,2019-08-31,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,3,3875981,БСТ B45 П5 F1300 W16,110.00
week,2019-08-05,2019-08-11,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,2,3219888,БСТ B45 П5 F1300 W16,110.00
week,2019-08-12,2019-08-18,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,656093,"Мелкозернистый бетон БСМ B22,5 П3,П4",37.00
month,2019-10-01,2019-10-31,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,3,2089980,БСТ B50 П5 F1300 W18,39.00
week,2019-10-14,2019-10-20,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,624428,БСТ B30 П4 F1150 W10,16.00
week,2019-10-21,2019-10-27,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,2,1465552,БСТ B50 П5 F1300 W18,39.00
week,2019-10-28,2019-11-03,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,3289812,БСТ B30 П4 F1200 W10,182.00
month,2019-11-01,2019-11-30,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,2,4101108,БСТ B30 П4 F1200 W10,182.00
week,2019-11-18,2019-11-24,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,1,811296,БСТ B25 П4 F1200 W10,44.00
month,2020-01-01,2020-01-31,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,2,661527,Раствор кладочный М150 Пк3,43.00
week,2020-01-20,2020-01-26,Янушко Анастасия Антониновна,Янушко Анастасия Антониновна,2,661527,Раствор кладочный М150 Пк3,43.00
month,2018-11-01,2018-11-30,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,54559,Формовка,53.60
week,2018-11-26,2018-12-02,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,54559,Формовка,53.60
month,2018-12-01,2018-12-31,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,2,1123069,Раствор М150 Пк3,53.27
week,2018-12-03,2018-12-09,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,554449,БСТ B30 П4 F1150 W10,17.47
week,2018-12-10,2018-12-16,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,568620,Раствор М150 Пк3,53.27
week,2018-12-31,2019-01-06,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,662448,БСТ B45 П5 F1300 W16,16.67
month,2019-01-01,2019-01-31,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,3,1223452,БСТ B45 П5 F1300 W16,48.80
week,2019-01-07,2019-01-13,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,2,561004,Раствор М150 Пк3,48.80
month,2019-02-01,2019-02-28,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,483210,Раствор М100 Пк3,32.68
week,2019-02-11,2019-02-17,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,483210,Раствор М100 Пк3,32.68
month,2019-03-01,2019-03-31,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,2,645864,БСТ B25 П4 F1200 W10,53.60
week,2019-03-04,2019-03-10,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,597204,БСТ B25 П4 F1200 W10,14.58
week,2019-03-25,2019-03-31,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,48660,Фасовка,53.60
month,2019-04-01,2019-04-30,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,3,1674988,"БСТ B22,5 П4 F1100 W6",53.49
week,2019-04-01,2019-04-07,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,2,1243284,"БСТ B22,5 П4 F1100 W6",53.49
week,2019-04-15,2019-04-21,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,431704,"Мелкозернистый бетон БСМ B15 П3,П4",5.19
month,2019-05-01,2019-05-31,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,3,1985955,БСТ B35 П5 F1200 W12,50.00
week,2019-05-06,2019-05-12,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,642870,"Мелкозернистый бетон БСМ B25 П3,П4",35.00
week,2019-05-13,2019-05-19,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,2,1343085,БСТ B35 П5 F1200 W12,50.00
month,2019-06-01,2019-06-30,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,896310,БСТ B60 П5 F1300 W20,38.00
week,2019-06-10,2019-06-16,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,896310,БСТ B60 П5 F1300 W20,38.00
month,2019-08-01,2019-08-31,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,2,712678,БСТ B40 П5 F1300 W14,36.80
week,2019-08-19,2019-08-25,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,667370,БСТ B40 П5 F1300 W14,10.00
week,2019-08-26,2019-09-01,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,45308,Доставка,36.80
month,2019-09-01,2019-09-30,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,3,1468155,"БСТ B20 П3,П4",58.40
week,2019-09-02,2019-09-08,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,2,1419875,"БСТ B20 П3,П4",47.00
week,2019-09-30,2019-10-06,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,48280,Упаковка европалет,58.40
month,2019-11-01,2019-11-30,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,2,3990755,БСТ B45 П5 F1300 W16,174.00
week,2019-11-11,2019-11-17,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,2,3990755,БСТ B45 П5 F1300 W16,174.00
month,2020-01-01,2020-01-31,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,3,2152635,БСТ B50 П5 F1300 W18,37.00
week,2020-01-06,2020-01-12,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,2,1364121,БСТ B50 П5 F1300 W18,37.00
week,2020-01-27,2020-02-02,Янчуковский Ярослав Модестович,Янушко Анастасия Антониновна,1,788514,Пусковая смесь,13.00
month,2018-12-01,2018-12-31,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,608025,"БСТ B20 П3,П4",40.10
week,2018-12-03,2018-12-09,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,608025,"БСТ B20 П3,П4",40.10
week,2018-12-31,2019-01-06,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,699194,"Мелкозернистый бетон БСМ B22,5 П3,П4",57.83
month,2019-01-01,2019-01-31,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,699194,"Мелкозернистый бетон БСМ B22,5 П3,П4",57.83
month,2019-02-01,2019-02-28,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,584292,"БСТ B22,5 П4 F1100 W6",21.12
week,2019-02-18,2019-02-24,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,584292,"БСТ B22,5 П4 F1100 W6",21.12
month,2019-03-01,2019-03-31,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,3,1964416,БСТ B25 П4 F1150 W8,52.52
week,2019-03-18,2019-03-24,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,2,1304176,БСТ B25 П4 F1150 W8,52.52
week,2019-03-25,2019-03-31,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,660240,БСТ B25 П4 F1150 W8,31.63
month,2019-04-01,2019-04-30,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,581256,Раствор М150 Пк3,49.27
week,2019-04-01,2019-04-07,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,581256,Раствор М150 Пк3,49.27
month,2019-05-01,2019-05-31,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,4,4395100,Раствор кладочный М100 Пк3,188.00
week,2019-05-06,2019-05-12,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,446040,Раствор М100 Пк3,20.00
week,2019-05-13,2019-05-19,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,2,3244824,Раствор кладочный М100 Пк3,188.00
week,2019-05-20,2019-05-26,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,704236,БСТ B35 П5 F1300 W12,16.00
month,2019-07-01,2019-07-31,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,448308,"Мелкозернистый бетон БСМ B15 П3,П4",8.00
week,2019-07-08,2019-07-14,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,448308,"Мелкозернистый бетон БСМ B15 П3,П4",8.00
month,2019-09-01,2019-09-30,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,2,694981,"БСТ B20 П3,П4",30.00
week,2019-09-02,2019-09-08,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,653250,"БСТ B20 П3,П4",30.00
week,2019-09-09,2019-09-15,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,41731,Доставка,26.00
month,2019-10-01,2019-10-31,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,2,650593,"Мелкозернистый бетон БСМ B25 П3,П4",29.60
week,2019-10-07,2019-10-13,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,609536,"Мелкозернистый бетон БСМ B25 П3,П4",28.00
week,2019-10-14,2019-10-20,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,41057,Фасовка,29.60
month,2019-12-01,2019-12-31,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,698165,БСТ B35 П5 F1300 W12,15.00
week,2019-12-02,2019-12-08,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,698165,БСТ B35 П5 F1300 W12,15.00
month,2020-01-01,2020-01-31,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,164052,Дегидрация,110.00
week,2020-01-13,2020-01-19,Янькова Елизавета Антониновна,Коченкова Розалия Федоровна,1,164052,Дегидрация,110.00
week,2018-10-29,2018-11-04,"1002","1002",1,910650,БСТ B35 П5 F1300 W12,74.12
week,2018-10-29,2018-11-04,"1045","1045",1,608894,"Мелкозернистый бетон БСМ B 7,5 П3,П4",61.08
week,2018-10-29,2018-11-04,"1039","1039",1,561916,"Мелкозернистый бетон БСМ B25 П3,П4",30.07
week,2018-10-29,2018-11-04,"1046","1046",2,1488049,БСТ B40 П5 F1300 W14,56.46
week,2018-10-29,2018-11-04,"1011","1011",1,453474,Раствор М100 Пк3,25.62
week,2018-10-29,2018-11-04,"1055","1055",1,618834,БСТ B40 П5 F1300 W14,14.81
week,2018-10-29,2018-11-04,"1033","1033",1,2490280,"Мелкозернистый бетон БСМ B22,5 П3,П4",198.59
week,2018-10-29,2018-11-04,"1043","1043",2,4523202,Пусковая смесь,228.25
week,2018-10-29,2018-11-04,"1023","1023",1,591948,"БСТ B12,5 П3,П4",45.44
week,2018-10-29,2018-11-04,"1034","1034",2,1285536,БСТ B30 П4 F1150 W10,57.38
week,2018-10-29,2018-11-04,"1018","1018",1,593892,Раствор М150 Пк3,60.08
week,2018-10-29,2018-11-04,"1036","1036",1,57542,Формовка,62.00
week,2018-10-29,2018-11-04,"1090","1090",2,1264814,Раствор М200 Пк3,72.16
week,2018-10-29,2018-11-04,"1052","1052",1,704236,БСТ B35 П5 F1300 W12,34.65
week,2018-10-29,2018-11-04,"1001","1001",1,618298,БСТ B30 П4 F1200 W10,21.71
week,2018-10-29,2018-11-04,"1017","1017",1,43050,Формовка,21.20
week,2018-10-29,2018-11-04,"1092","1092",1,722128,БСТ B45 П5 F1300 W16,29.18
week,2018-10-29,2018-11-04,"1037","1037",3,3674920,БСТ B30 П4 F1200 W10,131.94
month,2018-11-01,2018-11-30,"1059","1059",6,4948992,Раствор кладочный М150 Пк3,214.40
month,2018-11-01,2018-11-30,"1099","1099",1,695304,"БСТ B12,5 П3,П4",70.84
month,2018-11-01,2018-11-30,"1086","1086",2,1323872,БСТ B40 П5 F1300 W14,63.21
month,2018-11-01,2018-11-30,"1071","1071",1,664962,БСТ B30 П4 F1200 W10,30.90
month,2018-11-01,2018-11-30,"1042","1042",2,1102965,Раствор М200 Пк3,47.05
month,2018-11-01,2018-11-30,"1094","1094",4,1778857,"БСТ B20 П3,П4",57.47
month,2018-11-01,2018-11-30,"1098","1098",1,746624,БСТ B30 П4 F1200 W10,46.97
month,2018-11-01,2018-11-30,"1002","1002",2,1529994,БСТ B35 П5 F1300 W12,74.12
month,2018-11-01,2018-11-30,"1004","1004",1,45308,Доставка,36.80
month,2018-11-01,2018-11-30,"1017","1017",2,691374,"БСТ B12,5 П3,П4",59.29
month,2018-11-01,2018-11-30,"1041","1041",1,60526,Формовка,70.40
month,2018-11-01,2018-11-30,"1092","1092",4,3527053,"Мелкозернистый бетон БСМ B 7,5 П3,П4",163.59
month,2018-11-01,2018-11-30,"1001","1001",4,1789194,Раствор М150 Пк3,66.89
month,2018-11-01,2018-11-30,"1054","1054",2,1127760,Раствор М200 Пк3,57.81
month,2018-11-01,2018-11-30,"1029","1029",1,468380,"Мелкозернистый бетон БСМ B 7,5 П3,П4",23.91
month,2018-11-01,2018-11-30,"1064","1064",2,1385965,БСТ B40 П5 F1300 W14,50.82
month,2018-11-01,2018-11-30,"1011","1011",4,2440025,БСТ B30 П4 F1200 W10,40.08
month,2018-11-01,2018-11-30,"1091","1091",2,2981497,Раствор кладочный М100 Пк3,205.57
month,2018-11-01,2018-11-30,"1078","1078",1,565920,БСТ B25 П4 F1150 W8,23.83
month,2018-11-01,2018-11-30,"1027","1027",3,1862908,БСТ B35 П5 F1300 W12,27.69
month,2018-11-01,2018-11-30,"1007","1007",2,1380980,"Мелкозернистый бетон БСМ B25 П3,П4",63.14
month,2018-11-01,2018-11-30,"1032","1032",1,1992480,"Мелкозернистый бетон БСМ B15 П3,П4",151.58
month,2018-11-01,2018-11-30,"1079","1079",3,1003002,"БСТ B22,5 П4 F1100 W6",252.80
month,2018-11-01,2018-11-30,"1081","1081",2,1511658,БСТ B25 П4 F1200 W10,68.57
month,2018-11-01,2018-11-30,"1038","1038",3,1304627,БСТ B40 П5 F1300 W14,57.20
month,2018-11-01,2018-11-30,"1076","1076",2,1170290,"БСТ B12,5 П3,П4",53.03
month,2018-11-01,2018-11-30,"1036","1036",2,696470,"БСТ B12,5 П3,П4",62.00
month,2018-11-01,2018-11-30,"1023","1023",4,6962622,БСТ B60 П5 F1300 W20,192.01
month,2018-11-01,2018-11-30,"1020","1020",1,699960,БСТ B30 П4 F1200 W10,37.79
month,2018-11-01,2018-11-30,"1040","1040",2,1184851,БСТ B35 П5 F1200 W12,59.89
month,2018-11-01,2018-11-30,"1097","1097",2,574397,БСТ B25 П4 F1150 W8,26.00
month,2018-11-01,2018-11-30,"1074","1074",4,1667474,БСТ B45 П5 F1300 W16,72.80
month,2018-11-01,2018-11-30,"1034","1034",3,2935884,Раствор М100 Пк3,128.58
month,2018-11-01,2018-11-30,"1066","1066",1,504504,Раствор кладочный М150 Пк3,30.70
month,2018-11-01,2018-11-30,"1065","1065",2,1428055,Пусковая смесь,57.42
month,2018-11-01,2018-11-30,"1061","1061",1,2441472,Раствор кладочный М100 Пк3,224.66
month,2018-11-01,2018-11-30,"1015","1015",1,466752,Раствор кладочный М100 Пк3,24.14
month,2018-11-01,2018-11-30,"1056","1056",1,573156,"БСТ B12,5 П3,П4",40.82
month,2018-11-01,2018-11-30,"1075","1075",1,2590528,"Мелкозернистый бетон БСМ B25 П3,П4",199.83
month,2018-11-01,2018-11-30,"1082","1082",1,541157,"Мелкозернистый бетон БСМ B22,5 П3,П4",29.77
month,2018-11-01,2018-11-30,"1039","1039",3,1720395,БСТ B30 П4 F1150 W10,30.07
month,2018-11-01,2018-11-30,"1089","1089",2,1328292,БСТ B35 П5 F1200 W12,54.47
month,2018-11-01,2018-11-30,"1057","1057",2,1471620,БСТ B60 П5 F1300 W20,50.52
month,2018-11-01,2018-11-30,"1063","1063",3,4599728,Раствор М200 Пк3,203.67
month,2018-11-01,2018-11-30,"1028","1028",2,553010,"Мелкозернистый бетон БСМ B25 П3,П4",22.40
month,2018-11-01,2018-11-30,"1043","1043",3,5174567,Пусковая смесь,228.25
month,2018-11-01,2018-11-30,"1052","1052",2,3639976,БСТ B60 П5 F1300 W20,142.62
month,2018-11-01,2018-11-30,"1019","1019",3,865761,БСТ B60 П5 F1300 W20,78.80
month,2018-11-01,2018-11-30,"1024","1024",1,468380,"Мелкозернистый бетон БСМ B 7,5 П3,П4",23.91
month,2018-11-01,2018-11-30,"1055","1055",2,1233132,БСТ B40 П5 F1300 W14,42.20
month,2018-11-01,2018-11-30,"1018","1018",2,1077102,Раствор М150 Пк3,60.08
month,2018-11-01,2018-11-30,"1037","1037",3,3674920,БСТ B30 П4 F1200 W10,131.94
month,2018-11-01,2018-11-30,"1046","1046",3,1526454,БСТ B40 П5 F1300 W14,56.46
month,2018-11-01,2018-11-30,"1047","1047",3,2058930,БСТ B30 П4 F1150 W10,66.51
month,2018-11-01,2018-11-30,"1048","1048",2,1143752,"БСТ B12,5 П3,П4",70.84
month,2018-11-01,2018-11-30,"1062","1062",1,900162,Пусковая смесь,44.03
month,2018-11-01,2018-11-30,"1045","1045",2,649571,"Мелкозернистый бетон БСМ B 7,5 П3,П4",61.08
month,2018-11-01,2018-11-30,"1090","1090",5,3457504,БСТ B35 П5 F1300 W12,72.16
month,2018-11-01,2018-11-30,"1033","1033",5,6864120,БСТ B60 П5 F1300 W20,198.59
month,2018-11-01,2018-11-30,"1005","1005",1,477804,"БСТ B 7,5 П3,П4",20.66
month,2018-11-01,2018-11-30,"1068","1068",4,1316250,БСТ B45 П5 F1300 W16,37.72
month,2018-11-01,2018-11-30,"1096","1096",3,1871134,БСТ B40 П5 F1300 W14,44.08
month,2018-11-01,2018-11-30,"1031","1031",2,614929,Раствор М200 Пк3,78.80
week,2018-11-05,2018-11-11,"1057","1057",2,1471620,БСТ B60 П5 F1300 W20,50.52
week,2018-11-05,2018-11-11,"1066","1066",1,504504,Раствор кладочный М150 Пк3,30.70
week,2018-11-05,2018-11-11,"1045","1045",1,40677,Фасовка,28.40
week,2018-11-05,2018-11-11,"1039","1039",2,1158479,БСТ B30 П4 F1150 W10,28.87
week,2018-11-05,2018-11-11,"1098","1098",1,746624,БСТ B30 П4 F1200 W10,46.97
week,2018-11-05,2018-11-11,"1011","1011",1,711626,БСТ B30 П4 F1200 W10,40.08
week,2018-11-05,2018-11-11,"1090","1090",2,1501010,БСТ B35 П5 F1300 W12,64.83
week,2018-11-05,2018-11-11,"1043","1043",1,651365,Раствор М200 Пк3,70.96
week,2018-11-05,2018-11-11,"1096","1096",1,776576,БСТ B40 П5 F1300 W14,44.08
week,2018-11-05,2018-11-11,"1001","1001",1,42198,Фасовка,33.20
week,2018-11-05,2018-11-11,"1015","1015",1,466752,Раствор кладочный М100 Пк3,24.14
week,2018-11-05,2018-11-11,"1034","1034",1,1650348,Раствор М100 Пк3,128.58
week,2018-11-05,2018-11-11,"1068","1068",1,769872,БСТ B45 П5 F1300 W16,37.72
week,2018-11-05,2018-11-11,"1033","1033",4,4373840,БСТ B60 П5 F1300 W20,196.30
week,2018-11-05,2018-11-11,"1042","1042",1,542700,"БСТ B20 П3,П4",25.05
week,2018-11-05,2018-11-11,"1004","1004",1,45308,Доставка,36.80
week,2018-11-05,2018-11-11,"1029","1029",1,468380,"Мелкозернистый бетон БСМ B 7,5 П3,П4",23.91
week,2018-11-05,2018-11-11,"1019","1019",1,753420,БСТ B60 П5 F1300 W20,24.53
week,2018-11-05,2018-11-11,"1002","1002",1,619344,Раствор кладочный М100 Пк3,64.72
week,2018-11-05,2018-11-11,"1038","1038",1,49801,Фасовка,57.20
week,2018-11-05,2018-11-11,"1094","1094",1,683400,"БСТ B20 П3,П4",57.47
week,2018-11-05,2018-11-11,"1064","1064",1,597255,"БСТ B 7,5 П3,П4",50.82
week,2018-11-05,2018-11-11,"1092","1092",1,1992744,"Мелкозернистый бетон БСМ B 7,5 П3,П4",163.59
week,2018-11-05,2018-11-11,"1018","1018",1,483210,Раствор М100 Пк3,33.85
week,2018-11-05,2018-11-11,"1040","1040",1,412587,Раствор М100 Пк3,14.29
week,2018-11-05,2018-11-11,"1028","1028",1,509534,"Мелкозернистый бетон БСМ B25 П3,П4",17.95
